"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"547","Norfolk","CA","Ontario","35","",5.0,"00000","Employment income","Females",25820,26825,16900,17080,20175,22372,10.9
"550","Guelph","CMA","Ontario","35","",3.5,"00000","Total income","Both sexes",107275,124275,103665,119890,36267,38262,5.5
"550","Guelph","CMA","Ontario","35","",3.5,"00000","Total income","Males",52110,60285,50580,58150,47604,45591,-4.2
"550","Guelph","CMA","Ontario","35","",3.5,"00000","Total income","Females",55165,63990,53085,61740,28265,32182,13.9
"550","Guelph","CMA","Ontario","35","",3.5,"00000","After-tax income","Both sexes",107275,124275,103660,119910,32131,34308,6.8
"550","Guelph","CMA","Ontario","35","",3.5,"00000","After-tax income","Males",52110,60285,50580,58155,40600,40003,-1.5
"550","Guelph","CMA","Ontario","35","",3.5,"00000","After-tax income","Females",55165,63990,53085,61760,25816,29427,14.0
"550","Guelph","CMA","Ontario","35","",3.5,"00000","Employment income","Both sexes",107275,124275,82930,94050,37423,37736,0.8
"550","Guelph","CMA","Ontario","35","",3.5,"00000","Employment income","Males",52110,60285,42840,47900,48635,45415,-6.6
"550","Guelph","CMA","Ontario","35","",3.5,"00000","Employment income","Females",55165,63990,40090,46145,28741,30919,7.6
"553","Stratford","CA","Ontario","35","",3.9,"00000","Total income","Both sexes",24550,25975,24020,25370,34080,35352,3.7
"553","Stratford","CA","Ontario","35","",3.9,"00000","Total income","Males",11580,12420,11300,12130,43982,41669,-5.3
"553","Stratford","CA","Ontario","35","",3.9,"00000","Total income","Females",12975,13555,12715,13235,26629,30474,14.4
"553","Stratford","CA","Ontario","35","",3.9,"00000","After-tax income","Both sexes",24550,25975,24025,25375,30422,31931,5.0
"553","Stratford","CA","Ontario","35","",3.9,"00000","After-tax income","Males",11580,12420,11305,12135,37814,36886,-2.5
"553","Stratford","CA","Ontario","35","",3.9,"00000","After-tax income","Females",12975,13555,12715,13240,24674,27923,13.2
"553","Stratford","CA","Ontario","35","",3.9,"00000","Employment income","Both sexes",24550,25975,18540,19115,33862,33185,-2.0
"553","Stratford","CA","Ontario","35","",3.9,"00000","Employment income","Males",11580,12420,9385,9640,43813,40393,-7.8
"553","Stratford","CA","Ontario","35","",3.9,"00000","Employment income","Females",12975,13555,9155,9470,25798,27715,7.4
"555","London","CMA","Ontario","35","",3.5,"00000","Total income","Both sexes",369760,405455,354135,388860,32991,33564,1.7
"555","London","CMA","Ontario","35","",3.5,"00000","Total income","Males",177155,195305,169950,187285,41391,38825,-6.2
"555","London","CMA","Ontario","35","",3.5,"00000","Total income","Females",192605,210150,184185,201575,26588,29519,11.0
"555","London","CMA","Ontario","35","",3.5,"00000","After-tax income","Both sexes",369760,405455,354150,388940,29592,30614,3.5
"555","London","CMA","Ontario","35","",3.5,"00000","After-tax income","Males",177155,195305,169955,187290,36202,34860,-3.7
"555","London","CMA","Ontario","35","",3.5,"00000","After-tax income","Females",192605,210150,184200,201650,24614,27212,10.6
"555","London","CMA","Ontario","35","",3.5,"00000","Employment income","Both sexes",369760,405455,267630,283360,34010,32774,-3.6
"555","London","CMA","Ontario","35","",3.5,"00000","Employment income","Males",177155,195305,136970,144625,41558,37082,-10.8
"555","London","CMA","Ontario","35","",3.5,"00000","Employment income","Females",192605,210150,130665,138735,27504,29207,6.2
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","Total income","Both sexes",86600,83055,83835,80535,30559,30895,1.1
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","Total income","Males",42025,40360,40920,39305,39410,36520,-7.3
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","Total income","Females",44580,42700,42915,41235,24029,26045,8.4
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","After-tax income","Both sexes",86600,83055,83815,80550,27605,28426,3.0
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","After-tax income","Males",42025,40360,40910,39305,34485,33046,-4.2
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","After-tax income","Females",44580,42700,42900,41250,22673,24474,7.9
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","Employment income","Both sexes",86600,83055,62710,57475,29578,27254,-7.9
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","Employment income","Males",42025,40360,32980,30095,37909,31975,-15.7
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","Employment income","Females",44580,42700,29725,27380,22918,23302,1.7
"557","Leamington","CA","Ontario","35","",7.5,"00100","Total income","Both sexes",37200,37655,35765,36425,31413,32419,3.2
"557","Leamington","CA","Ontario","35","",7.5,"00100","Total income","Males",18125,18445,17565,17920,43484,41574,-4.4
"557","Leamington","CA","Ontario","35","",7.5,"00100","Total income","Females",19075,19215,18200,18505,23295,25387,9.0
"557","Leamington","CA","Ontario","35","",7.5,"00100","After-tax income","Both sexes",37200,37655,35765,36445,28275,29656,4.9
"557","Leamington","CA","Ontario","35","",7.5,"00100","After-tax income","Males",18125,18445,17560,17920,38181,37094,-2.8
"557","Leamington","CA","Ontario","35","",7.5,"00100","After-tax income","Females",19075,19215,18205,18515,21928,23712,8.1
"557","Leamington","CA","Ontario","35","",7.5,"00100","Employment income","Both sexes",37200,37655,26865,26995,29627,27928,-5.7
"557","Leamington","CA","Ontario","35","",7.5,"00100","Employment income","Males",18125,18445,14395,14665,41545,34318,-17.4
"557","Leamington","CA","Ontario","35","",7.5,"00100","Employment income","Females",19075,19215,12475,12325,21973,22583,2.8
"559","Windsor","CMA","Ontario","35","",3.5,"00000","Total income","Both sexes",258640,270000,245315,256730,33471,32971,-1.5
"559","Windsor","CMA","Ontario","35","",3.5,"00000","Total income","Males",125620,131630,120155,125760,44858,40881,-8.9
"559","Windsor","CMA","Ontario","35","",3.5,"00000","Total income","Females",133020,138375,125155,130970,24911,27050,8.6
"559","Windsor","CMA","Ontario","35","",3.5,"00000","After-tax income","Both sexes",258640,270000,245310,256835,30054,30221,0.6
"559","Windsor","CMA","Ontario","35","",3.5,"00000","After-tax income","Males",125620,131630,120130,125765,38700,36549,-5.6
"559","Windsor","CMA","Ontario","35","",3.5,"00000","After-tax income","Females",133020,138375,125185,131070,23333,25263,8.3
"559","Windsor","CMA","Ontario","35","",3.5,"00000","Employment income","Both sexes",258640,270000,180085,184455,35553,30525,-14.1
"559","Windsor","CMA","Ontario","35","",3.5,"00000","Employment income","Males",125620,131630,95260,98290,47250,35455,-25.0
"559","Windsor","CMA","Ontario","35","",3.5,"00000","Employment income","Females",133020,138375,84830,86160,26949,26556,-1.5
"562","Sarnia","CA","Ontario","35","",3.5,"00000","Total income","Both sexes",78855,80185,75780,77325,32953,35349,7.3
"562","Sarnia","CA","Ontario","35","",3.5,"00000","Total income","Males",38050,39020,36905,37840,47673,48399,1.5
"562","Sarnia","CA","Ontario","35","",3.5,"00000","Total income","Females",40810,41165,38875,39485,23187,26836,15.7
"562","Sarnia","CA","Ontario","35","",3.5,"00000","After-tax income","Both sexes",78855,80185,75745,77390,29664,32028,8.0
"562","Sarnia","CA","Ontario","35","",3.5,"00000","After-tax income","Males",38050,39020,36905,37845,40735,42530,4.4
"562","Sarnia","CA","Ontario","35","",3.5,"00000","After-tax income","Females",40810,41165,38845,39550,21995,24727,12.4
"562","Sarnia","CA","Ontario","35","",3.5,"00000","Employment income","Both sexes",78855,80185,55780,54835,30903,30490,-1.3
"562","Sarnia","CA","Ontario","35","",3.5,"00000","Employment income","Males",38050,39020,29730,29515,45474,40076,-11.9
"562","Sarnia","CA","Ontario","35","",3.5,"00000","Employment income","Females",40810,41165,26050,25325,21888,24148,10.3
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","Total income","Both sexes",12770,17955,12365,17505,29705,29545,-0.5
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","Total income","Males",6255,8675,6080,8480,38660,36964,-4.4
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","Total income","Females",6525,9275,6280,9025,21815,24419,11.9
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","After-tax income","Both sexes",12770,17955,12365,17520,27328,27441,0.4
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","After-tax income","Males",6255,8675,6080,8480,34124,33732,-1.1
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","After-tax income","Females",6525,9275,6285,9040,20729,22989,10.9
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","Employment income","Both sexes",12770,17955,7665,10500,28626,24138,-15.7
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","Employment income","Males",6255,8675,4140,5490,36591,28544,-22.0
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","Employment income","Females",6525,9275,3525,5010,23163,20940,-9.6
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","Total income","Both sexes",26250,26250,25280,25470,27926,30943,10.8
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","Total income","Males",12475,12555,12120,12180,35621,36498,2.5
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","Total income","Females",13770,13690,13160,13295,23629,26624,12.7
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","After-tax income","Both sexes",26250,26250,25280,25485,25576,28473,11.3
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","After-tax income","Males",12475,12555,12115,12180,31515,33056,4.9
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","After-tax income","Females",13770,13690,13165,13300,22267,24977,12.2
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","Employment income","Both sexes",26250,26250,18025,17550,27610,28633,3.7
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","Employment income","Males",12475,12555,9140,8905,35180,32953,-6.3
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","Employment income","Females",13770,13690,8880,8645,22458,24878,10.8
"567","Collingwood","CA","Ontario","35","",4.8,"00000","Total income","Both sexes",14140,18025,13700,17655,28591,32215,12.7
"567","Collingwood","CA","Ontario","35","",4.8,"00000","Total income","Males",6570,8415,6340,8225,38067,37467,-1.6
"567","Collingwood","CA","Ontario","35","",4.8,"00000","Total income","Females",7565,9615,7360,9435,23735,28845,21.5
"567","Collingwood","CA","Ontario","35","",4.8,"00000","After-tax income","Both sexes",14140,18025,13700,17665,25893,29443,13.7
"567","Collingwood","CA","Ontario","35","",4.8,"00000","After-tax income","Males",6570,8415,6340,8225,33064,33577,1.6
"567","Collingwood","CA","Ontario","35","",4.8,"00000","After-tax income","Females",7565,9615,7350,9435,22223,26593,19.7
"567","Collingwood","CA","Ontario","35","",4.8,"00000","Employment income","Both sexes",14140,18025,9495,12270,26071,26508,1.7
"567","Collingwood","CA","Ontario","35","",4.8,"00000","Employment income","Males",6570,8415,4775,6065,33771,30133,-10.8
"567","Collingwood","CA","Ontario","35","",4.8,"00000","Employment income","Females",7565,9615,4720,6205,21948,23724,8.1
"568","Barrie","CMA","Ontario","35","",3.4,"00000","Total income","Both sexes",138030,159220,132410,152710,34425,34568,0.4
"568","Barrie","CMA","Ontario","35","",3.4,"00000","Total income","Males",66985,77445,64500,74335,47124,43445,-7.8
"568","Barrie","CMA","Ontario","35","",3.4,"00000","Total income","Females",71045,81775,67910,78370,25043,28464,13.7
"568","Barrie","CMA","Ontario","35","",3.4,"00000","After-tax income","Both sexes",138030,159220,132365,152750,30655,31326,2.2
"568","Barrie","CMA","Ontario","35","",3.4,"00000","After-tax income","Males",66985,77445,64470,74340,39852,38352,-3.8
"568","Barrie","CMA","Ontario","35","",3.4,"00000","After-tax income","Females",71045,81775,67900,78410,23277,26366,13.3
"568","Barrie","CMA","Ontario","35","",3.4,"00000","Employment income","Both sexes",138030,159220,104860,118810,35558,34316,-3.5
"568","Barrie","CMA","Ontario","35","",3.4,"00000","Employment income","Males",66985,77445,54440,61155,48215,43055,-10.7
"568","Barrie","CMA","Ontario","35","",3.4,"00000","Employment income","Females",71045,81775,50425,57655,25712,27711,7.8
"569","Orillia","CA","Ontario","35","",4.4,"00000","Total income","Both sexes",23940,25565,23135,24705,28390,29620,4.3
"569","Orillia","CA","Ontario","35","",4.4,"00000","Total income","Males",11160,11915,10830,11470,35339,33441,-5.4
"569","Orillia","CA","Ontario","35","",4.4,"00000","Total income","Females",12785,13650,12305,13235,24288,26615,9.6
"569","Orillia","CA","Ontario","35","",4.4,"00000","After-tax income","Both sexes",23940,25565,23135,24710,25720,27397,6.5
"569","Orillia","CA","Ontario","35","",4.4,"00000","After-tax income","Males",11160,11915,10830,11475,31140,30545,-1.9
"569","Orillia","CA","Ontario","35","",4.4,"00000","After-tax income","Females",12785,13650,12300,13240,22872,25012,9.4
"569","Orillia","CA","Ontario","35","",4.4,"00000","Employment income","Both sexes",23940,25565,16275,16685,27964,27665,-1.1
"569","Orillia","CA","Ontario","35","",4.4,"00000","Employment income","Males",11160,11915,8185,8190,33600,31644,-5.8
"569","Orillia","CA","Ontario","35","",4.4,"00000","Employment income","Females",12785,13650,8090,8490,23660,24517,3.6
"571","Midland","CA","Ontario","35","",4.7,"00000","Total income","Both sexes",28555,29880,27340,28875,28535,29778,4.4
"571","Midland","CA","Ontario","35","",4.7,"00000","Total income","Males",13625,14375,13075,13910,37695,34557,-8.3
"571","Midland","CA","Ontario","35","",4.7,"00000","Total income","Females",14925,15505,14265,14970,22916,25886,13.0
"571","Midland","CA","Ontario","35","",4.7,"00000","After-tax income","Both sexes",28555,29880,27340,28885,26231,27528,4.9
"571","Midland","CA","Ontario","35","",4.7,"00000","After-tax income","Males",13625,14375,13075,13910,32974,31347,-4.9
"571","Midland","CA","Ontario","35","",4.7,"00000","After-tax income","Females",14925,15505,14270,14970,21836,24427,11.9
"571","Midland","CA","Ontario","35","",4.7,"00000","Employment income","Both sexes",28555,29880,18775,18920,30479,29016,-4.8
"571","Midland","CA","Ontario","35","",4.7,"00000","Employment income","Males",13625,14375,9785,9620,37895,33605,-11.3
"571","Midland","CA","Ontario","35","",4.7,"00000","Employment income","Females",14925,15505,8990,9300,24768,25467,2.8
"575","North Bay","CA","Ontario","35","",4.8,"00000","Total income","Both sexes",58335,58240,55570,56100,28438,33172,16.6
"575","North Bay","CA","Ontario","35","",4.8,"00000","Total income","Males",28040,28220,26840,27215,36622,39457,7.7
"575","North Bay","CA","Ontario","35","",4.8,"00000","Total income","Females",30300,30015,28735,28890,23703,28240,19.1
"575","North Bay","CA","Ontario","35","",4.8,"00000","After-tax income","Both sexes",58335,58240,55565,56125,26360,30243,14.7
"575","North Bay","CA","Ontario","35","",4.8,"00000","After-tax income","Males",28040,28220,26830,27215,32533,35433,8.9
"575","North Bay","CA","Ontario","35","",4.8,"00000","After-tax income","Females",30300,30015,28735,28910,22281,26130,17.3
"575","North Bay","CA","Ontario","35","",4.8,"00000","Employment income","Both sexes",58335,58240,39090,39660,28510,31457,10.3
"575","North Bay","CA","Ontario","35","",4.8,"00000","Employment income","Males",28040,28220,20200,20360,35405,36509,3.1
"575","North Bay","CA","Ontario","35","",4.8,"00000","Employment income","Females",30300,30015,18895,19300,23649,27770,17.4
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","Total income","Both sexes",131055,136285,125060,131490,32326,37763,16.8
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","Total income","Males",63190,66380,61050,64245,43827,46957,7.1
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","Total income","Females",67865,69900,64010,67240,23509,29828,26.9
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","After-tax income","Both sexes",131055,136285,125070,131575,29197,34060,16.7
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","After-tax income","Males",63190,66380,61035,64255,37787,41352,9.4
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","After-tax income","Females",67865,69900,64035,67320,22287,27273,22.4
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","Employment income","Both sexes",131055,136285,90395,97190,31611,35738,13.1
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","Employment income","Males",63190,66380,47675,51440,42374,43713,3.2
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","Employment income","Females",67865,69900,42720,45755,24163,30074,24.5
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","Total income","Both sexes",10200,9475,9815,9210,23794,24594,3.4
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","Total income","Males",4880,4535,4735,4410,30545,28939,-5.3
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","Total income","Females",5320,4940,5080,4800,19761,22034,11.5
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","After-tax income","Both sexes",10200,9475,9805,9215,22715,23770,4.6
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","After-tax income","Males",4880,4535,4735,4410,28148,27520,-2.2
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","After-tax income","Females",5320,4940,5070,4805,19283,21453,11.3
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","Employment income","Both sexes",10200,9475,4635,4345,19264,22736,18.0
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","Employment income","Males",4880,4535,2395,2205,21795,24845,14.0
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","Employment income","Females",5320,4940,2240,2145,18650,21472,15.1
"586","Timmins","CA","Ontario","35","",3.7,"00000","Total income","Both sexes",34400,34105,33000,33020,31253,36426,16.6
"586","Timmins","CA","Ontario","35","",3.7,"00000","Total income","Males",16850,16805,16100,16350,44195,48699,10.2
"586","Timmins","CA","Ontario","35","",3.7,"00000","Total income","Females",17550,17300,16905,16670,22965,28546,24.3
"586","Timmins","CA","Ontario","35","",3.7,"00000","After-tax income","Both sexes",34400,34105,33000,33025,28288,32944,16.5
"586","Timmins","CA","Ontario","35","",3.7,"00000","After-tax income","Males",16850,16805,16100,16350,38199,42237,10.6
"586","Timmins","CA","Ontario","35","",3.7,"00000","After-tax income","Females",17550,17300,16900,16680,21775,26425,21.4
"586","Timmins","CA","Ontario","35","",3.7,"00000","Employment income","Both sexes",34400,34105,24725,25165,33641,37013,10.0
"586","Timmins","CA","Ontario","35","",3.7,"00000","Employment income","Males",16850,16805,13030,13265,47266,51883,9.8
"586","Timmins","CA","Ontario","35","",3.7,"00000","Employment income","Females",17550,17300,11700,11900,24397,28419,16.5
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","Total income","Both sexes",66500,65390,63905,63240,30166,33311,10.4
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","Total income","Males",31760,31535,30690,30505,39200,40485,3.3
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","Total income","Females",34735,33855,33215,32730,23185,26800,15.6
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","After-tax income","Both sexes",66500,65390,63870,63260,27406,30464,11.2
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","After-tax income","Males",31760,31535,30690,30505,34697,36398,4.9
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","After-tax income","Females",34735,33855,33185,32755,22058,24979,13.2
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","Employment income","Both sexes",66500,65390,45020,44505,27964,28989,3.7
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","Employment income","Males",31760,31535,23665,23770,35373,32706,-7.5
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","Employment income","Females",34735,33855,21355,20735,23582,26406,12.0
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","Total income","Both sexes",100650,101145,96780,98145,32635,36378,11.5
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","Total income","Males",48470,49380,46825,47945,42600,43311,1.7
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","Total income","Females",52175,51760,49960,50200,25405,30968,21.9
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","After-tax income","Both sexes",100650,101145,96780,98180,29474,32913,11.7
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","After-tax income","Males",48470,49380,46815,47945,36988,38484,4.0
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","After-tax income","Females",52175,51760,49960,50235,23703,28372,19.7
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","Employment income","Both sexes",100650,101145,68795,70275,33410,34572,3.5
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","Employment income","Males",48470,49380,35415,35785,43239,40488,-6.4
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","Employment income","Females",52175,51760,33380,34485,26810,30326,13.1
"598","Kenora","CA","Ontario","35","",6.1,"00000","Total income","Both sexes",12350,12375,12010,12160,35107,39471,12.4
"598","Kenora","CA","Ontario","35","",6.1,"00000","Total income","Males",5965,6045,5845,5945,45524,46773,2.7
"598","Kenora","CA","Ontario","35","",6.1,"00000","Total income","Females",6385,6335,6165,6215,28381,33135,16.8
"598","Kenora","CA","Ontario","35","",6.1,"00000","After-tax income","Both sexes",12350,12375,12010,12165,31160,35161,12.8
"598","Kenora","CA","Ontario","35","",6.1,"00000","After-tax income","Males",5965,6045,5845,5950,39432,40948,3.8
"598","Kenora","CA","Ontario","35","",6.1,"00000","After-tax income","Females",6385,6335,6165,6220,25873,29966,15.8
"598","Kenora","CA","Ontario","35","",6.1,"00000","Employment income","Both sexes",12350,12375,9220,9195,33736,35864,6.3
"598","Kenora","CA","Ontario","35","",6.1,"00000","Employment income","Males",5965,6045,4775,4635,40077,41495,3.5
"598","Kenora","CA","Ontario","35","",6.1,"00000","Employment income","Females",6385,6335,4450,4560,30326,31706,4.6
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","Total income","Both sexes",558980,629375,536160,599255,31262,35706,14.2
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","Total income","Males",268335,306900,257630,291675,38036,41285,8.5
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","Total income","Females",290650,322480,278530,307580,26113,31114,19.2
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","After-tax income","Both sexes",558980,629375,536125,599375,27778,31505,13.4
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","After-tax income","Males",268335,306900,257610,291695,32799,35730,8.9
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","After-tax income","Females",290650,322480,278515,307675,23877,27981,17.2
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","Employment income","Both sexes",558980,629375,410765,457590,31556,35361,12.1
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","Employment income","Males",268335,306900,209600,234355,37698,40476,7.4
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","Employment income","Females",290650,322480,201165,223230,26728,30826,15.3
"603","Winkler","CA","Manitoba","46","",3.5,"00000","Total income","Both sexes",16205,22230,15475,21150,23910,30646,28.2
"603","Winkler","CA","Manitoba","46","",3.5,"00000","Total income","Males",7930,10900,7640,10410,32335,40018,23.8
"603","Winkler","CA","Manitoba","46","",3.5,"00000","Total income","Females",8280,11330,7835,10740,18788,22555,20.1
"603","Winkler","CA","Manitoba","46","",3.5,"00000","After-tax income","Both sexes",16205,22230,15470,21155,22289,27589,23.8
"603","Winkler","CA","Manitoba","46","",3.5,"00000","After-tax income","Males",7930,10900,7635,10415,28780,35046,21.8
"603","Winkler","CA","Manitoba","46","",3.5,"00000","After-tax income","Females",8280,11330,7830,10740,18007,21173,17.6
"603","Winkler","CA","Manitoba","46","",3.5,"00000","Employment income","Both sexes",16205,22230,11870,16665,24947,30707,23.1
"603","Winkler","CA","Manitoba","46","",3.5,"00000","Employment income","Males",7930,10900,6405,9110,32215,38702,20.1
"603","Winkler","CA","Manitoba","46","",3.5,"00000","Employment income","Females",8280,11330,5470,7550,17065,21498,26.0
"605","Steinbach","CA","Manitoba","46","",2.9,"00000","Total income","Both sexes",8605,12080,8310,11580,26830,30800,14.8
"605","Steinbach","CA","Manitoba","46","",2.9,"00000","Total income","Males",4110,5715,3960,5500,35802,39976,11.7
"605","Steinbach","CA","Manitoba","46","",2.9,"00000","Total income","Females",4495,6365,4350,6080,20738,23680,14.2
"605","Steinbach","CA","Manitoba","46","",2.9,"00000","After-tax income","Both sexes",8605,12080,8310,11580,24249,27948,15.3
"605","Steinbach","CA","Manitoba","46","",2.9,"00000","After-tax income","Males",4110,5715,3960,5495,31144,34893,12.0
"605","Steinbach","CA","Manitoba","46","",2.9,"00000","After-tax income","Females",4495,6365,4345,6085,19658,22091,12.4
"605","Steinbach","CA","Manitoba","46","",2.9,"00000","Employment income","Both sexes",8605,12080,6155,8780,28105,31151,10.8
"605","Steinbach","CA","Manitoba","46","",2.9,"00000","Employment income","Males",4110,5715,3290,4610,35404,38393,8.4
"605","Steinbach","CA","Manitoba","46","",2.9,"00000","Employment income","Females",4495,6365,2865,4165,20661,24011,16.2
"607","Portage la Prairie","CA","Manitoba","46","",4.9,"00000","Total income","Both sexes",9575,10165,9325,9785,28017,33950,21.2
"607","Portage la Prairie","CA","Manitoba","46","",4.9,"00000","Total income","Males",4435,4780,4275,4605,35591,40596,14.1
"607","Portage la Prairie","CA","Manitoba","46","",4.9,"00000","Total income","Females",5135,5385,5060,5190,24091,29688,23.2
"607","Portage la Prairie","CA","Manitoba","46","",4.9,"00000","After-tax income","Both sexes",9575,10165,9330,9790,25503,30339,19.0
"607","Portage la Prairie","CA","Manitoba","46","",4.9,"00000","After-tax income","Males",4435,4780,4275,4600,30998,35087,13.2
"607","Portage la Prairie","CA","Manitoba","46","",4.9,"00000","After-tax income","Females",5135,5385,5055,5190,22301,27053,21.3
"607","Portage la Prairie","CA","Manitoba","46","",4.9,"00000","Employment income","Both sexes",9575,10165,6845,7000,27793,33518,20.6
"607","Portage la Prairie","CA","Manitoba","46","",4.9,"00000","Employment income","Males",4435,4780,3335,3560,35613,40026,12.4
"607","Portage la Prairie","CA","Manitoba","46","",4.9,"00000","Employment income","Females",5135,5385,3510,3435,22122,28729,29.9
"610","Brandon","CA","Manitoba","46","",3.6,"00000","Total income","Both sexes",40060,45260,38900,43710,29810,37709,26.5
"610","Brandon","CA","Manitoba","46","",3.6,"00000","Total income","Males",19070,21905,18480,21160,37581,45585,21.3
"610","Brandon","CA","Manitoba","46","",3.6,"00000","Total income","Females",20985,23350,20420,22545,24458,31133,27.3
"610","Brandon","CA","Manitoba","46","",3.6,"00000","After-tax income","Both sexes",40060,45260,38910,43715,26536,32897,24.0
"610","Brandon","CA","Manitoba","46","",3.6,"00000","After-tax income","Males",19070,21905,18490,21160,32522,38904,19.6
"610","Brandon","CA","Manitoba","46","",3.6,"00000","After-tax income","Females",20985,23350,20420,22555,22492,27813,23.7
"610","Brandon","CA","Manitoba","46","",3.6,"00000","Employment income","Both sexes",40060,45260,30565,34915,28359,35729,26.0
"610","Brandon","CA","Manitoba","46","",3.6,"00000","Employment income","Males",19070,21905,15545,17830,35487,43473,22.5
"610","Brandon","CA","Manitoba","46","",3.6,"00000","Employment income","Females",20985,23350,15020,17080,23028,28589,24.1
"640","Thompson","CA","Manitoba","46","",5.0,"00100","Total income","Both sexes",9785,10025,9300,9520,35927,44868,24.9
"640","Thompson","CA","Manitoba","46","",5.0,"00100","Total income","Males",5005,5075,4775,4840,54055,59989,11.0
"640","Thompson","CA","Manitoba","46","",5.0,"00100","Total income","Females",4780,4945,4530,4685,28379,34470,21.5
"640","Thompson","CA","Manitoba","46","",5.0,"00100","After-tax income","Both sexes",9785,10025,9300,9525,31568,39215,24.2
