"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"2482","Les Collines-de-l'Outaouais","Municipalité régionale de comté","Quebec","24",2.8,"00000","Total income","Males",16990,20175,16160,19420,41850,46369,10.8
"2482","Les Collines-de-l'Outaouais","Municipalité régionale de comté","Quebec","24",2.8,"00000","Total income","Females",16285,19050,15280,18395,33320,40360,21.1
"2482","Les Collines-de-l'Outaouais","Municipalité régionale de comté","Quebec","24",2.8,"00000","After-tax income","Both sexes",33275,39225,31430,37835,33101,36807,11.2
"2482","Les Collines-de-l'Outaouais","Municipalité régionale de comté","Quebec","24",2.8,"00000","After-tax income","Males",16990,20175,16160,19425,36106,39043,8.1
"2482","Les Collines-de-l'Outaouais","Municipalité régionale de comté","Quebec","24",2.8,"00000","After-tax income","Females",16285,19050,15265,18410,30329,34671,14.3
"2482","Les Collines-de-l'Outaouais","Municipalité régionale de comté","Quebec","24",2.8,"00000","Employment income","Both sexes",33275,39225,24925,29495,38803,40768,5.1
"2482","Les Collines-de-l'Outaouais","Municipalité régionale de comté","Quebec","24",2.8,"00000","Employment income","Males",16990,20175,12955,15385,43434,43280,-0.4
"2482","Les Collines-de-l'Outaouais","Municipalité régionale de comté","Quebec","24",2.8,"00000","Employment income","Females",16285,19050,11970,14105,35010,38260,9.3
"2483","La Vallée-de-la-Gatineau","Municipalité régionale de comté","Quebec","24",6.9,"20000","Total income","Both sexes",17115,17140,16260,16600,22938,25628,11.7
"2483","La Vallée-de-la-Gatineau","Municipalité régionale de comté","Quebec","24",6.9,"20000","Total income","Males",8685,8680,8410,8395,28053,28470,1.5
"2483","La Vallée-de-la-Gatineau","Municipalité régionale de comté","Quebec","24",6.9,"20000","Total income","Females",8435,8465,7850,8205,19375,22995,18.7
"2483","La Vallée-de-la-Gatineau","Municipalité régionale de comté","Quebec","24",6.9,"20000","After-tax income","Both sexes",17115,17140,16265,16605,21960,24189,10.2
"2483","La Vallée-de-la-Gatineau","Municipalité régionale de comté","Quebec","24",6.9,"20000","After-tax income","Males",8685,8680,8410,8395,25584,26517,3.6
"2483","La Vallée-de-la-Gatineau","Municipalité régionale de comté","Quebec","24",6.9,"20000","After-tax income","Females",8435,8465,7855,8210,18961,21911,15.6
"2483","La Vallée-de-la-Gatineau","Municipalité régionale de comté","Quebec","24",6.9,"20000","Employment income","Both sexes",17115,17140,10150,10100,23564,23768,0.9
"2483","La Vallée-de-la-Gatineau","Municipalité régionale de comté","Quebec","24",6.9,"20000","Employment income","Males",8685,8680,5510,5365,27604,25573,-7.4
"2483","La Vallée-de-la-Gatineau","Municipalité régionale de comté","Quebec","24",6.9,"20000","Employment income","Females",8435,8465,4640,4735,19713,21971,11.5
"2484","Pontiac","Municipalité régionale de comté","Quebec","24",5.2,"00000","Total income","Both sexes",12040,11985,11340,11535,23257,26490,13.9
"2484","Pontiac","Municipalité régionale de comté","Quebec","24",5.2,"00000","Total income","Males",5980,6020,5685,5815,29358,30005,2.2
"2484","Pontiac","Municipalité régionale de comté","Quebec","24",5.2,"00000","Total income","Females",6065,5970,5655,5720,19365,23460,21.1
"2484","Pontiac","Municipalité régionale de comté","Quebec","24",5.2,"00000","After-tax income","Both sexes",12040,11985,11345,11535,22292,24846,11.5
"2484","Pontiac","Municipalité régionale de comté","Quebec","24",5.2,"00000","After-tax income","Males",5980,6020,5680,5810,26875,27479,2.2
"2484","Pontiac","Municipalité régionale de comté","Quebec","24",5.2,"00000","After-tax income","Females",6065,5970,5655,5720,19270,22245,15.4
"2484","Pontiac","Municipalité régionale de comté","Quebec","24",5.2,"00000","Employment income","Both sexes",12040,11985,6965,7080,25638,25938,1.2
"2484","Pontiac","Municipalité régionale de comté","Quebec","24",5.2,"00000","Employment income","Males",5980,6020,3880,3780,31000,27955,-9.8
"2484","Pontiac","Municipalité régionale de comté","Quebec","24",5.2,"00000","Employment income","Females",6065,5970,3085,3305,21523,23648,9.9
"2485","Témiscamingue","Municipalité régionale de comté","Quebec","24",5.7,"00000","Total income","Both sexes",13560,12960,12795,12600,25571,30922,20.9
"2485","Témiscamingue","Municipalité régionale de comté","Quebec","24",5.7,"00000","Total income","Males",6795,6555,6535,6405,35514,37638,6.0
"2485","Témiscamingue","Municipalité régionale de comté","Quebec","24",5.7,"00000","Total income","Females",6755,6405,6255,6195,20149,25169,24.9
"2485","Témiscamingue","Municipalité régionale de comté","Quebec","24",5.7,"00000","After-tax income","Both sexes",13560,12960,12795,12600,24401,28309,16.0
"2485","Témiscamingue","Municipalité régionale de comté","Quebec","24",5.7,"00000","After-tax income","Males",6795,6555,6540,6405,31523,33196,5.3
"2485","Témiscamingue","Municipalité régionale de comté","Quebec","24",5.7,"00000","After-tax income","Females",6755,6405,6260,6195,19709,23749,20.5
"2485","Témiscamingue","Municipalité régionale de comté","Quebec","24",5.7,"00000","Employment income","Both sexes",13560,12960,9110,8805,25514,29600,16.0
"2485","Témiscamingue","Municipalité régionale de comté","Quebec","24",5.7,"00000","Employment income","Males",6795,6555,4970,4735,37028,37287,0.7
"2485","Témiscamingue","Municipalité régionale de comté","Quebec","24",5.7,"00000","Employment income","Females",6755,6405,4145,4075,17417,23792,36.6
"2486","Rouyn-Noranda","Territoire équivalent","Quebec","24",4.2,"00000","Total income","Both sexes",32350,34150,30760,33260,28762,35363,23.0
"2486","Rouyn-Noranda","Territoire équivalent","Quebec","24",4.2,"00000","Total income","Males",15950,17160,15320,16810,37575,44116,17.4
"2486","Rouyn-Noranda","Territoire équivalent","Quebec","24",4.2,"00000","Total income","Females",16400,16985,15440,16455,21176,27826,31.4
"2486","Rouyn-Noranda","Territoire équivalent","Quebec","24",4.2,"00000","After-tax income","Both sexes",32350,34150,30765,33275,26632,31150,17.0
"2486","Rouyn-Noranda","Territoire équivalent","Quebec","24",4.2,"00000","After-tax income","Males",15950,17160,15320,16810,32559,37684,15.7
"2486","Rouyn-Noranda","Territoire équivalent","Quebec","24",4.2,"00000","After-tax income","Females",16400,16985,15450,16465,20453,25264,23.5
"2486","Rouyn-Noranda","Territoire équivalent","Quebec","24",4.2,"00000","Employment income","Both sexes",32350,34150,22080,24980,30054,33786,12.4
"2486","Rouyn-Noranda","Territoire équivalent","Quebec","24",4.2,"00000","Employment income","Males",15950,17160,11865,13390,38068,43380,14.0
"2486","Rouyn-Noranda","Territoire équivalent","Quebec","24",4.2,"00000","Employment income","Females",16400,16985,10220,11590,21892,26106,19.2
"2487","Abitibi-Ouest","Municipalité régionale de comté","Quebec","24",3.5,"00000","Total income","Both sexes",16885,16535,15945,16110,24935,30550,22.5
"2487","Abitibi-Ouest","Municipalité régionale de comté","Quebec","24",3.5,"00000","Total income","Males",8575,8465,8180,8315,35425,40640,14.7
"2487","Abitibi-Ouest","Municipalité régionale de comté","Quebec","24",3.5,"00000","Total income","Females",8310,8070,7765,7790,18102,22880,26.4
"2487","Abitibi-Ouest","Municipalité régionale de comté","Quebec","24",3.5,"00000","After-tax income","Both sexes",16885,16535,15955,16110,23593,27817,17.9
"2487","Abitibi-Ouest","Municipalité régionale de comté","Quebec","24",3.5,"00000","After-tax income","Males",8575,8465,8190,8320,30881,35213,14.0
"2487","Abitibi-Ouest","Municipalité régionale de comté","Quebec","24",3.5,"00000","After-tax income","Females",8310,8070,7765,7795,17921,21745,21.3
"2487","Abitibi-Ouest","Municipalité régionale de comté","Quebec","24",3.5,"00000","Employment income","Both sexes",16885,16535,10645,10955,25885,31248,20.7
"2487","Abitibi-Ouest","Municipalité régionale de comté","Quebec","24",3.5,"00000","Employment income","Males",8575,8465,5890,6090,37228,43176,16.0
"2487","Abitibi-Ouest","Municipalité régionale de comté","Quebec","24",3.5,"00000","Employment income","Females",8310,8070,4755,4870,17072,21669,26.9
"2488","Abitibi","Municipalité régionale de comté","Quebec","24",4.6,"00000","Total income","Both sexes",19345,19715,18225,19240,27701,35079,26.6
"2488","Abitibi","Municipalité régionale de comté","Quebec","24",4.6,"00000","Total income","Males",9735,9965,9340,9795,36595,43863,19.9
"2488","Abitibi","Municipalité régionale de comté","Quebec","24",4.6,"00000","Total income","Females",9605,9755,8885,9440,21028,27440,30.5
"2488","Abitibi","Municipalité régionale de comté","Quebec","24",4.6,"00000","After-tax income","Both sexes",19345,19715,18225,19245,25680,31066,21.0
"2488","Abitibi","Municipalité régionale de comté","Quebec","24",4.6,"00000","After-tax income","Males",9735,9965,9340,9795,31796,37307,17.3
"2488","Abitibi","Municipalité régionale de comté","Quebec","24",4.6,"00000","After-tax income","Females",9605,9755,8885,9445,20288,25221,24.3
"2488","Abitibi","Municipalité régionale de comté","Quebec","24",4.6,"00000","Employment income","Both sexes",19345,19715,13440,14450,28341,33546,18.4
"2488","Abitibi","Municipalité régionale de comté","Quebec","24",4.6,"00000","Employment income","Males",9735,9965,7365,7720,36568,43453,18.8
"2488","Abitibi","Municipalité régionale de comté","Quebec","24",4.6,"00000","Employment income","Females",9605,9755,6075,6730,20132,25108,24.7
"2489","La Vallée-de-l'Or","Municipalité régionale de comté","Quebec","24",4.7,"00000","Total income","Both sexes",33305,34735,31515,33795,27790,34481,24.1
"2489","La Vallée-de-l'Or","Municipalité régionale de comté","Quebec","24",4.7,"00000","Total income","Males",16675,17605,16025,17255,37852,44743,18.2
"2489","La Vallée-de-l'Or","Municipalité régionale de comté","Quebec","24",4.7,"00000","Total income","Females",16630,17130,15485,16540,21338,26446,23.9
"2489","La Vallée-de-l'Or","Municipalité régionale de comté","Quebec","24",4.7,"00000","After-tax income","Both sexes",33305,34735,31520,33800,25960,30691,18.2
"2489","La Vallée-de-l'Or","Municipalité régionale de comté","Quebec","24",4.7,"00000","After-tax income","Males",16675,17605,16025,17255,32904,38439,16.8
"2489","La Vallée-de-l'Or","Municipalité régionale de comté","Quebec","24",4.7,"00000","After-tax income","Females",16630,17130,15490,16540,20592,24376,18.4
"2489","La Vallée-de-l'Or","Municipalité régionale de comté","Quebec","24",4.7,"00000","Employment income","Both sexes",33305,34735,22575,24940,30167,34982,16.0
"2489","La Vallée-de-l'Or","Municipalité régionale de comté","Quebec","24",4.7,"00000","Employment income","Males",16675,17605,12175,13470,41283,47767,15.7
"2489","La Vallée-de-l'Or","Municipalité régionale de comté","Quebec","24",4.7,"00000","Employment income","Females",16630,17130,10400,11470,20486,25408,24.0
"2490","La Tuque","Territoire équivalent","Quebec","24",7.6,"00000","Total income","Both sexes",12425,11925,11515,11420,25445,28172,10.7
"2490","La Tuque","Territoire équivalent","Quebec","24",7.6,"00000","Total income","Males",6285,6110,5910,5875,35469,35676,0.6
"2490","La Tuque","Territoire équivalent","Quebec","24",7.6,"00000","Total income","Females",6145,5810,5605,5540,18703,22848,22.2
"2490","La Tuque","Territoire équivalent","Quebec","24",7.6,"00000","After-tax income","Both sexes",12425,11925,11515,11435,24260,26277,8.3
"2490","La Tuque","Territoire équivalent","Quebec","24",7.6,"00000","After-tax income","Males",6285,6110,5910,5875,31043,31966,3.0
"2490","La Tuque","Territoire équivalent","Quebec","24",7.6,"00000","After-tax income","Females",6145,5810,5605,5555,18531,21615,16.6
"2490","La Tuque","Territoire équivalent","Quebec","24",7.6,"00000","Employment income","Both sexes",12425,11925,7395,7185,27090,27590,1.8
"2490","La Tuque","Territoire équivalent","Quebec","24",7.6,"00000","Employment income","Males",6285,6110,4040,3880,36745,32565,-11.4
"2490","La Tuque","Territoire équivalent","Quebec","24",7.6,"00000","Employment income","Females",6145,5810,3350,3305,17708,23366,32.0
"2491","Le Domaine-du-Roy","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Both sexes",25990,25395,24755,24780,26417,30481,15.4
"2491","Le Domaine-du-Roy","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Males",12865,12690,12410,12435,35336,37317,5.6
"2491","Le Domaine-du-Roy","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Females",13120,12700,12345,12335,19409,24311,25.3
"2491","Le Domaine-du-Roy","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Both sexes",25990,25395,24770,24785,24727,27602,11.6
"2491","Le Domaine-du-Roy","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Males",12865,12690,12410,12435,30954,32746,5.8
"2491","Le Domaine-du-Roy","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Females",13120,12700,12360,12350,19005,22831,20.1
"2491","Le Domaine-du-Roy","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Both sexes",25990,25395,17165,16930,27016,27435,1.6
"2491","Le Domaine-du-Roy","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Males",12865,12690,9450,9085,35814,33843,-5.5
"2491","Le Domaine-du-Roy","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Females",13120,12700,7715,7845,19867,22222,11.9
"2492","Maria-Chapdelaine","Municipalité régionale de comté","Quebec","24",4.3,"00000","Total income","Both sexes",21290,19860,19955,19385,24269,29910,23.2
"2492","Maria-Chapdelaine","Municipalité régionale de comté","Quebec","24",4.3,"00000","Total income","Males",10695,10100,10260,9940,35725,38575,8.0
"2492","Maria-Chapdelaine","Municipalité régionale de comté","Quebec","24",4.3,"00000","Total income","Females",10590,9760,9695,9440,17346,22141,27.6
"2492","Maria-Chapdelaine","Municipalité régionale de comté","Quebec","24",4.3,"00000","After-tax income","Both sexes",21290,19860,19955,19385,23012,27200,18.2
"2492","Maria-Chapdelaine","Municipalité régionale de comté","Quebec","24",4.3,"00000","After-tax income","Males",10695,10100,10260,9940,31718,33891,6.9
"2492","Maria-Chapdelaine","Municipalité régionale de comté","Quebec","24",4.3,"00000","After-tax income","Females",10590,9760,9695,9450,17137,20939,22.2
"2492","Maria-Chapdelaine","Municipalité régionale de comté","Quebec","24",4.3,"00000","Employment income","Both sexes",21290,19860,13620,13480,24112,26280,9.0
"2492","Maria-Chapdelaine","Municipalité régionale de comté","Quebec","24",4.3,"00000","Employment income","Males",10695,10100,7835,7385,35266,34726,-1.5
"2492","Maria-Chapdelaine","Municipalité régionale de comté","Quebec","24",4.3,"00000","Employment income","Females",10590,9760,5785,6100,15440,19846,28.5
"2493","Lac-Saint-Jean-Est","Municipalité régionale de comté","Quebec","24",3.8,"00000","Total income","Both sexes",41930,42650,39540,41450,26382,31735,20.3
"2493","Lac-Saint-Jean-Est","Municipalité régionale de comté","Quebec","24",3.8,"00000","Total income","Males",20915,21530,20065,21075,37051,39942,7.8
"2493","Lac-Saint-Jean-Est","Municipalité régionale de comté","Quebec","24",3.8,"00000","Total income","Females",21015,21115,19470,20380,18595,24034,29.2
"2493","Lac-Saint-Jean-Est","Municipalité régionale de comté","Quebec","24",3.8,"00000","After-tax income","Both sexes",41930,42650,39545,41465,24698,28447,15.2
"2493","Lac-Saint-Jean-Est","Municipalité régionale de comté","Quebec","24",3.8,"00000","After-tax income","Males",20915,21530,20065,21075,32223,34843,8.1
"2493","Lac-Saint-Jean-Est","Municipalité régionale de comté","Quebec","24",3.8,"00000","After-tax income","Females",21015,21115,19475,20395,18265,22528,23.3
"2493","Lac-Saint-Jean-Est","Municipalité régionale de comté","Quebec","24",3.8,"00000","Employment income","Both sexes",41930,42650,26905,28800,26992,28281,4.8
"2493","Lac-Saint-Jean-Est","Municipalité régionale de comté","Quebec","24",3.8,"00000","Employment income","Males",20915,21530,15245,15820,36892,35650,-3.4
"2493","Lac-Saint-Jean-Est","Municipalité régionale de comté","Quebec","24",3.8,"00000","Employment income","Females",21015,21115,11655,12985,18074,21984,21.6
"2494","Le Saguenay-et-son-Fjord","Census division","Quebec","24",3.8,"00000","Total income","Both sexes",135035,138465,126720,134035,27308,33247,21.7
"2494","Le Saguenay-et-son-Fjord","Census division","Quebec","24",3.8,"00000","Total income","Males",66305,69185,63395,67460,38586,41531,7.6
"2494","Le Saguenay-et-son-Fjord","Census division","Quebec","24",3.8,"00000","Total income","Females",68725,69285,63330,66580,19345,25221,30.4
"2494","Le Saguenay-et-son-Fjord","Census division","Quebec","24",3.8,"00000","After-tax income","Both sexes",135035,138465,126735,134140,25405,29578,16.4
"2494","Le Saguenay-et-son-Fjord","Census division","Quebec","24",3.8,"00000","After-tax income","Males",66305,69185,63395,67460,33606,35938,6.9
"2494","Le Saguenay-et-son-Fjord","Census division","Quebec","24",3.8,"00000","After-tax income","Females",68725,69285,63340,66685,18940,23376,23.4
"2494","Le Saguenay-et-son-Fjord","Census division","Quebec","24",3.8,"00000","Employment income","Both sexes",135035,138465,87980,94485,27907,29576,6.0
"2494","Le Saguenay-et-son-Fjord","Census division","Quebec","24",3.8,"00000","Employment income","Males",66305,69185,49085,52090,36762,35232,-4.2
"2494","Le Saguenay-et-son-Fjord","Census division","Quebec","24",3.8,"00000","Employment income","Females",68725,69285,38900,42405,20062,24427,21.8
"2495","La Haute-Côte-Nord","Municipalité régionale de comté","Quebec","24",5.8,"00000","Total income","Both sexes",10275,9255,9755,9055,24612,27727,12.7
"2495","La Haute-Côte-Nord","Municipalité régionale de comté","Quebec","24",5.8,"00000","Total income","Males",5200,4630,5005,4565,35132,35640,1.4
"2495","La Haute-Côte-Nord","Municipalité régionale de comté","Quebec","24",5.8,"00000","Total income","Females",5075,4625,4755,4485,17941,21648,20.7
"2495","La Haute-Côte-Nord","Municipalité régionale de comté","Quebec","24",5.8,"00000","After-tax income","Both sexes",10275,9255,9755,9055,23285,25448,9.3
"2495","La Haute-Côte-Nord","Municipalité régionale de comté","Quebec","24",5.8,"00000","After-tax income","Males",5200,4630,5005,4565,30788,31447,2.1
"2495","La Haute-Côte-Nord","Municipalité régionale de comté","Quebec","24",5.8,"00000","After-tax income","Females",5075,4625,4755,4490,17650,20660,17.1
"2495","La Haute-Côte-Nord","Municipalité régionale de comté","Quebec","24",5.8,"00000","Employment income","Both sexes",10275,9255,6675,6080,22456,23808,6.0
"2495","La Haute-Côte-Nord","Municipalité régionale de comté","Quebec","24",5.8,"00000","Employment income","Males",5200,4630,3755,3275,32840,33137,0.9
"2495","La Haute-Côte-Nord","Municipalité régionale de comté","Quebec","24",5.8,"00000","Employment income","Females",5075,4625,2920,2805,12745,18418,44.5
"2496","Manicouagan","Municipalité régionale de comté","Quebec","24",4.6,"00000","Total income","Both sexes",27010,25620,25405,24780,32125,35338,10.0
"2496","Manicouagan","Municipalité régionale de comté","Quebec","24",4.6,"00000","Total income","Males",13705,12880,13090,12570,47234,43755,-7.4
"2496","Manicouagan","Municipalité régionale de comté","Quebec","24",4.6,"00000","Total income","Females",13310,12735,12315,12215,22067,26669,20.9
"2496","Manicouagan","Municipalité régionale de comté","Quebec","24",4.6,"00000","After-tax income","Both sexes",27010,25620,25400,24800,29237,31115,6.4
"2496","Manicouagan","Municipalité régionale de comté","Quebec","24",4.6,"00000","After-tax income","Males",13705,12880,13090,12570,39311,37654,-4.2
"2496","Manicouagan","Municipalité régionale de comté","Quebec","24",4.6,"00000","After-tax income","Females",13310,12735,12315,12230,21171,24266,14.6
"2496","Manicouagan","Municipalité régionale de comté","Quebec","24",4.6,"00000","Employment income","Both sexes",27010,25620,18790,17575,34851,32563,-6.6
"2496","Manicouagan","Municipalité régionale de comté","Quebec","24",4.6,"00000","Employment income","Males",13705,12880,10415,9295,53013,41951,-20.9
"2496","Manicouagan","Municipalité régionale de comté","Quebec","24",4.6,"00000","Employment income","Females",13310,12735,8375,8275,22504,25568,13.6
"2497","Sept-Rivières--Caniapiscau","Census division","Quebec","24",5.8,"00000","Total income","Both sexes",30725,31285,29230,30270,32607,38255,17.3
"2497","Sept-Rivières--Caniapiscau","Census division","Quebec","24",5.8,"00000","Total income","Males",15490,15915,15005,15480,44305,49044,10.7
"2497","Sept-Rivières--Caniapiscau","Census division","Quebec","24",5.8,"00000","Total income","Females",15235,15365,14225,14790,22105,29534,33.6
"2497","Sept-Rivières--Caniapiscau","Census division","Quebec","24",5.8,"00000","After-tax income","Both sexes",30725,31285,29225,30285,29482,33658,14.2
"2497","Sept-Rivières--Caniapiscau","Census division","Quebec","24",5.8,"00000","After-tax income","Males",15490,15915,15000,15485,37402,41225,10.2
"2497","Sept-Rivières--Caniapiscau","Census division","Quebec","24",5.8,"00000","After-tax income","Females",15235,15365,14220,14805,21390,26685,24.8
"2497","Sept-Rivières--Caniapiscau","Census division","Quebec","24",5.8,"00000","Employment income","Both sexes",30725,31285,22460,23715,32531,36383,11.8
"2497","Sept-Rivières--Caniapiscau","Census division","Quebec","24",5.8,"00000","Employment income","Males",15490,15915,12320,13035,47672,47664,0.0
"2497","Sept-Rivières--Caniapiscau","Census division","Quebec","24",5.8,"00000","Employment income","Females",15235,15365,10145,10675,22256,28352,27.4
"2498","Minganie--Le Golfe-du-Saint-Laurent","Census division","Quebec","24",7.9,"00000","Total income","Both sexes",9430,9110,8890,8840,25560,34086,33.4
"2498","Minganie--Le Golfe-du-Saint-Laurent","Census division","Quebec","24",7.9,"00000","Total income","Males",4700,4565,4505,4435,30075,39877,32.6
"2498","Minganie--Le Golfe-du-Saint-Laurent","Census division","Quebec","24",7.9,"00000","Total income","Females",4725,4545,4385,4410,21809,28768,31.9
"2498","Minganie--Le Golfe-du-Saint-Laurent","Census division","Quebec","24",7.9,"00000","After-tax income","Both sexes",9430,9110,8890,8840,24197,30555,26.3
"2498","Minganie--Le Golfe-du-Saint-Laurent","Census division","Quebec","24",7.9,"00000","After-tax income","Males",4700,4565,4500,4430,27314,35045,28.3
"2498","Minganie--Le Golfe-du-Saint-Laurent","Census division","Quebec","24",7.9,"00000","After-tax income","Females",4725,4545,4380,4410,21421,26320,22.9
"2498","Minganie--Le Golfe-du-Saint-Laurent","Census division","Quebec","24",7.9,"00000","Employment income","Both sexes",9430,9110,6695,6765,18549,26233,41.4
"2498","Minganie--Le Golfe-du-Saint-Laurent","Census division","Quebec","24",7.9,"00000","Employment income","Males",4700,4565,3500,3500,20591,31072,50.9
"2498","Minganie--Le Golfe-du-Saint-Laurent","Census division","Quebec","24",7.9,"00000","Employment income","Females",4725,4545,3190,3260,16814,21768,29.5
"2499","Nord-du-Québec","Census division","Quebec","24",10.0,"01100","Total income","Both sexes",27900,31640,26510,30375,28502,34276,20.3
"2499","Nord-du-Québec","Census division","Quebec","24",10.0,"01100","Total income","Males",14270,16035,13645,15365,34073,36328,6.6
"2499","Nord-du-Québec","Census division","Quebec","24",10.0,"01100","Total income","Females",13630,15600,12865,15005,24228,32459,34.0
"2499","Nord-du-Québec","Census division","Quebec","24",10.0,"01100","After-tax income","Both sexes",27900,31640,26515,30375,27246,32117,17.9
"2499","Nord-du-Québec","Census division","Quebec","24",10.0,"01100","After-tax income","Males",14270,16035,13650,15370,31150,33558,7.7
"2499","Nord-du-Québec","Census division","Quebec","24",10.0,"01100","After-tax income","Females",13630,15600,12870,15005,23826,30699,28.8
"2499","Nord-du-Québec","Census division","Quebec","24",10.0,"01100","Employment income","Both sexes",27900,31640,21350,24960,27606,29900,8.3
"2499","Nord-du-Québec","Census division","Quebec","24",10.0,"01100","Employment income","Males",14270,16035,11365,12775,36362,34525,-5.1
"2499","Nord-du-Québec","Census division","Quebec","24",10.0,"01100","Employment income","Females",13630,15600,9980,12185,21371,25772,20.6
"3501","Stormont, Dundas and Glengarry","United counties","Ontario","35",4.5,"00000","Total income","Both sexes",89000,93070,84665,89485,28355,30935,9.1
"3501","Stormont, Dundas and Glengarry","United counties","Ontario","35",4.5,"00000","Total income","Males",43185,45455,41330,43710,36001,36546,1.5
"3501","Stormont, Dundas and Glengarry","United counties","Ontario","35",4.5,"00000","Total income","Females",45815,47615,43340,45775,23007,26497,15.2
"3501","Stormont, Dundas and Glengarry","United counties","Ontario","35",4.5,"00000","After-tax income","Both sexes",89000,93070,84655,89510,25874,28354,9.6
"3501","Stormont, Dundas and Glengarry","United counties","Ontario","35",4.5,"00000","After-tax income","Males",43185,45455,41355,43710,31944,32892,3.0
"3501","Stormont, Dundas and Glengarry","United counties","Ontario","35",4.5,"00000","After-tax income","Females",45815,47615,43305,45795,21855,24757,13.3
"3501","Stormont, Dundas and Glengarry","United counties","Ontario","35",4.5,"00000","Employment income","Both sexes",89000,93070,59335,61215,28912,30398,5.1
"3501","Stormont, Dundas and Glengarry","United counties","Ontario","35",4.5,"00000","Employment income","Males",43185,45455,31265,32060,35244,34543,-2.0
"3501","Stormont, Dundas and Glengarry","United counties","Ontario","35",4.5,"00000","Employment income","Females",45815,47615,28070,29160,23518,26570,13.0
"3502","Prescott and Russell","United counties","Ontario","35",3.9,"00000","Total income","Both sexes",63420,72270,60045,69795,34098,38814,13.8
"3502","Prescott and Russell","United counties","Ontario","35",3.9,"00000","Total income","Males",31395,35745,29860,34580,41893,44781,6.9
"3502","Prescott and Russell","United counties","Ontario","35",3.9,"00000","Total income","Females",32025,36525,30185,35215,25730,33240,29.2
"3502","Prescott and Russell","United counties","Ontario","35",3.9,"00000","After-tax income","Both sexes",63420,72270,60050,69825,30274,34603,14.3
"3502","Prescott and Russell","United counties","Ontario","35",3.9,"00000","After-tax income","Males",31395,35745,29865,34585,36411,39312,8.0
"3502","Prescott and Russell","United counties","Ontario","35",3.9,"00000","After-tax income","Females",32025,36525,30185,35240,23774,29932,25.9
"3502","Prescott and Russell","United counties","Ontario","35",3.9,"00000","Employment income","Both sexes",63420,72270,45875,52545,36386,38615,6.1
"3502","Prescott and Russell","United counties","Ontario","35",3.9,"00000","Employment income","Males",31395,35745,24220,27310,42709,43492,1.8
"3502","Prescott and Russell","United counties","Ontario","35",3.9,"00000","Employment income","Females",32025,36525,21650,25235,29359,33880,15.4
"3506","Ottawa","Census division","Ontario","35",3.5,"00000","Total income","Both sexes",654855,761420,625835,728270,39052,41857,7.2
"3506","Ottawa","Census division","Ontario","35",3.5,"00000","Total income","Males",314475,367460,301320,351485,47692,48479,1.7
"3506","Ottawa","Census division","Ontario","35",3.5,"00000","Total income","Females",340380,393960,324515,376785,32691,36936,13.0
"3506","Ottawa","Census division","Ontario","35",3.5,"00000","After-tax income","Both sexes",654855,761420,625760,728540,34327,37136,8.2
"3506","Ottawa","Census division","Ontario","35",3.5,"00000","After-tax income","Males",314475,367460,301260,351520,40701,42234,3.8
"3506","Ottawa","Census division","Ontario","35",3.5,"00000","After-tax income","Females",340380,393960,324505,377015,29398,33174,12.8
"3506","Ottawa","Census division","Ontario","35",3.5,"00000","Employment income","Both sexes",654855,761420,479360,546025,40679,40955,0.7
"3506","Ottawa","Census division","Ontario","35",3.5,"00000","Employment income","Males",314475,367460,243055,274960,47300,46070,-2.6
"3506","Ottawa","Census division","Ontario","35",3.5,"00000","Employment income","Females",340380,393960,236300,271065,35252,36746,4.2
"3507","Leeds and Grenville","United counties","Ontario","35",4.4,"00000","Total income","Both sexes",80640,84770,77525,81690,31621,34329,8.6
"3507","Leeds and Grenville","United counties","Ontario","35",4.4,"00000","Total income","Males",39110,41230,37725,39765,39854,40366,1.3
"3507","Leeds and Grenville","United counties","Ontario","35",4.4,"00000","Total income","Females",41530,43540,39800,41920,25152,29483,17.2
"3507","Leeds and Grenville","United counties","Ontario","35",4.4,"00000","After-tax income","Both sexes",80640,84770,77505,81730,28445,31122,9.4
"3507","Leeds and Grenville","United counties","Ontario","35",4.4,"00000","After-tax income","Males",39110,41230,37715,39765,34720,36031,3.8
"3507","Leeds and Grenville","United counties","Ontario","35",4.4,"00000","After-tax income","Females",41530,43540,39795,41960,23518,26996,14.8
"3507","Leeds and Grenville","United counties","Ontario","35",4.4,"00000","Employment income","Both sexes",80640,84770,55610,56875,30291,30912,2.1
